All Wide Receivers NFL Standard Stats
,,Upcoming,,Passing,,,,,,Rushing,,,,Receiving,,,,,,,
Player,Team,Opp,Bye,Att,Cmp,Yd,TD,Int,Rate,Att,Yd,Avg,TD,Tar,Recpt,Yd,Avg,TD,FL,FPTS,
"Coale, Danny WR DAL ",Free Agent,NYG,11,0,0,0,0,0,0.0,0,0,0.0,0,0,1.7,19.3,11.4,0,0,2.70
"Preston, Michael WR TEN ",Free Agent,@PIT,8,0,0,0,0,0,0.0,0,0,0.0,0,0,1.7,19.7,11.6,0,0,2.70
"Hamilton, Cobi WR CIN",Free Agent,@CHI,12,0,0,0,0,0,0.0,0,0,0.0,0,0,1.7,23.0,13.5,0,0,2.70
"Maehl, Jeff WR HOU",Free Agent,@SD,8,0,0,0,0,0,0.0,0,0,0.0,0,0,1.3,16.3,12.5,0,0,2.30
"Thompson, Deonte WR BAL ",Free Agent,@DEN,8,0,0,0,0,0,0.0,0,0,0.0,0,0,1.7,29.3,17.2,0,0.3,2.10
"Whalen, Ryan WR CIN",Free Agent,@CHI,12,0,0,0,0,0,0.0,0,0,0.0,0,0,2.0,13.3,6.7,0,0,2
"Adams, Joe WR CAR",Free Agent,SEA,4,0,0,0,0,0,0.0,1.7,7.3,4.3,0,0,2.7,35.0,13.0,0,1.0,1.70
"Osgood, Kassim WR SF",Free Agent,GB,9,0,0,0,0,0,0.0,0,0,0.0,0,0,1.3,11.3,8.7,0,0,1.30
"Newsome, Jamar WR KC",Free Agent,@JAC,10,0,0,0,0,0,0.0,0,0,0.0,0,0,1.3,12.0,9.2,0,0,1.30
"Slater, Matthew WR NE",Free Agent,@BUF,10,0,0,0,0,0,0.0,0,0,0.0,0,0,1.3,11.0,8.5,0,0,1.30
"Gilyard, Mardy WR KC",Free Agent,@JAC,10,0,0,0,0,0,0.0,0,0,0.0,0,0,1.0,8.7,8.7,0,0,1
"Palmer, Nathan WR IND",Free Agent,OAK,8,0,0,0,0,0,0.0,0,0,0.0,0,0,1.0,11.7,11.7,0,0,1
"Sampson, DeMarco WR BUF",Free Agent,NE,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0.7,6.0,8.6,0,0,0.70
"Adams, Kris WR NYG",Free Agent,@DAL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0.7,8.7,12.4,0,0,0.70
"Wallace, Roberto WR TEN",Free Agent,@PIT,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0.7,7.0,10.0,0,0,0.70
"Mitchell, Carlton WR TB",Free Agent,@NYJ,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0.3,3.3,11.0,0,0,0.30
"Miller, Nick WR PHI ",Free Agent,@WAS,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0.3,5.3,17.7,0,0,0.30
"Stafford, Kenny WR MIA",Free Agent,@CLE,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Sampson, Lanear WR IND",Free Agent,OAK,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Adams, Darvin WR CAR",Free Agent,SEA,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Schilens, Chaz WR NYJ ",Free Agent,TB,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Johnson, Darius WR ATL",Free Agent,@NO,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Cunningham, Sederrik WR GB",Free Agent,@SF,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Barden, Ramses WR NYG",Free Agent,@DAL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Adams, Royce WR NYJ",Free Agent,TB,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Wilson, Marquess WR CHI ",Free Agent,CIN,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Kelley, Jeremy WR IND",Free Agent,OAK,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Thompkins, Kenbrell WR NE",Free Agent,@BUF,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Cone, Kevin WR ATL",Free Agent,@NO,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Holley, Jesse WR NE",Free Agent,@BUF,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Willis, Matt WR DET",Free Agent,MIN,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Meier, Kerry WR ATL",Free Agent,@NO,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Childs, Greg WR MIN ",Free Agent,@DET,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Session, Tray WR OAK",Free Agent,@IND,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Moss, Randy WR SF",Free Agent,GB,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Lemon, Alec WR HOU",Free Agent,@SD,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Jacobs, Chuck WR SF",Free Agent,GB,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Jackson, Jerrell WR CHI ",Free Agent,CIN,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Clowney, David WR BUF",Free Agent,NE,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Christopher, DeVonte WR FA",Free Agent,BYE,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Obomanu, Ben WR NYJ",Free Agent,TB,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Mayo, Thomas WR NYJ",Free Agent,TB,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Curry, Dominique WR DET ",Free Agent,MIN,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Jackson, Marcus WR ATL",Free Agent,@NO,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Moore, Kashif WR PIT",Free Agent,TEN,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Austin, Matt WR SEA",Free Agent,@CAR,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Collins, Jasper WR MIA",Free Agent,@CLE,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Bateman, Kemonte' WR DEN",Free Agent,BAL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Evans, Lee WR JAC",Free Agent,KC,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Wilson, Cody WR DET",Free Agent,MIN,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Jones, Dwight WR HOU",Free Agent,@SD,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Harrison, Mark WR NE ",Free Agent,@BUF,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Roosevelt, Naaman WR CLE",Free Agent,MIA,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Williams, Pat WR BAL",Free Agent,@DEN,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Knox, Johnny WR CHI",Free Agent,CIN,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Ikharo, Taulib WR CAR",Free Agent,SEA,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
