"PLAYER","TEAM","BYE","REC","REC YDS","REC TDS","RUSH ATT","RUSH YDS","RUSH TDS","FMBLS","PPR"
"D.K. Metcalf","SEA","11","36.90","540.60","4.30","0.70","4.00","0.00","0.60","116.60"
"Willie Snead","BAL","8","47.70","530.50","2.40","0.70","4.30","0.00","0.50","115.10"
"Randall Cobb","DAL","8","46.50","499.00","2.80","3.30","13.50","0.00","0.40","114.20"
"Rashard Higgins","CLE","7","37.30","518.70","3.50","0.10","0.70","0.00","0.40","109.80"
"A.J. Brown","TEN","11","40.00","509.30","2.90","0.00","0.00","0.00","0.10","108.20"
"David Moore","SEA","11","31.70","486.90","4.40","0.40","1.90","0.00","0.40","106.60"
"Deebo Samuel","SF","4","38.90","498.60","2.80","1.90","11.70","0.00","0.80","105.90"
"Tre'Quan Smith","NO","9","34.40","489.80","3.50","0.40","1.70","0.00","0.10","104.50"
"D.J. Chark","JAC","10","39.60","493.40","2.20","0.00","0.00","0.00","1.10","101.00"
"Andy Isabella","ARI","12","35.50","454.70","2.60","2.00","12.10","0.10","0.10","98.30"
"Breshad Perriman","TB","7","29.80","504.20","2.80","3.10","8.70","0.00","0.10","97.80"
"Mecole Hardman","KC","12","31.40","451.40","3.30","3.00","16.60","0.10","0.40","98.20"
"Josh Gordon","NE","10","31.90","480.80","2.60","0.00","0.00","0.00","0.00","95.60"
"Trey Quinn","WAS","10","36.90","422.30","2.40","2.10","11.30","0.10","0.10","95.20"
"Antonio Callaway","CLE","7","31.10","436.30","3.10","1.10","4.20","0.00","0.40","93.40"
"John Ross","CIN","9","29.00","316.60","4.00","3.90","15.30","0.00","0.10","86.10"
"Chris Conley","JAC","10","31.30","385.70","2.20","0.00","0.00","0.00","0.20","82.90"
"Kendrick Bourne","SF","4","28.60","356.50","2.10","0.00","0.10","0.00","0.00","76.90"
"Demaryius Thomas","NE","10","27.60","342.60","2.30","0.00","0.00","0.00","0.00","75.70"
"Equanimeous St. Brown","GB","11","25.40","355.80","1.80","0.40","3.00","0.00","0.00","72.10"
"Travis Benjamin","LAC","12","23.10","353.60","1.70","4.80","29.50","0.10","0.10","72.10"
"Jarius Wright","CAR","7","27.40","309.00","1.60","2.20","16.50","0.10","0.30","69.90"
"Chris Hogan","CAR","7","23.20","325.30","2.10","0.40","2.20","0.00","0.00","68.60"
"Miles Boykin","BAL","8","22.60","328.00","1.90","0.00","0.00","0.00","0.10","66.70"
"Jermaine Kearse","DET","5","28.10","301.80","1.50","0.00","-0.10","0.00","0.40","66.90"
"Hunter Renfrow","OAK","6","26.90","289.20","1.40","0.00","0.00","0.00","0.10","64.10"
"Tim Patrick","DEN","10","22.30","314.30","1.50","3.20","11.20","0.00","0.10","63.80"
